Store,Date,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
29,10-06-2011,0,69.53,3.924,134.9425484,9.966
23,11-11-2011,0,44.04,3.57,136.4618065,4.42
39,11-03-2011,0,58.35,3.459,212.8611313,8.395
1,11-03-2011,0,53.56,3.459,214.1110564,7.742
10,08-10-2010,0,77.04,2.924,126.2791667,9.003
26,30-12-2011,1,18.8,3.402,136.6432581,7.598
11,16-09-2011,0,85.11,3.526,219.3972867,7.567
45,30-12-2011,1,37.79,3.389,189.0620155,8.523
3,19-03-2010,0,60.42,2.72,214.5301219,7.368
8,19-10-2012,0,62.99,3.594,227.0184166,5.124
20,23-04-2010,0,50.65,2.902,203.6905586,7.856
12,25-03-2011,0,54.4,3.909,128.6160645,14.021
9,06-08-2010,0,87.09,2.627,215.064843,6.442
15,27-04-2012,0,41.57,4.163,137.9781333,8.15
10,15-07-2011,0,86.01,3.779,129.1338387,8.257
20,14-10-2011,0,62.54,3.541,210.4027602,7.082
10,22-06-2012,0,89.92,4.014,130.7929,7.382
37,12-03-2010,0,61.96,2.667,210.1413607,8.554
8,23-09-2011,0,68.72,3.467,219.788581,6.425
33,14-01-2011,0,53.63,3.312,127.3009355,8.951
9,20-08-2010,0,86.3,2.664,215.1619646,6.442
38,27-04-2012,0,77.99,4.193,131.1266667,11.627
37,18-06-2010,0,84.37,2.637,210.2108417,8.464
27,12-11-2010,0,45.9,3.065,136.8349032,8.021
14,13-04-2012,0,51.83,4.044,190.7595962,8.567
41,20-08-2010,0,66.19,2.732,190.2948237,7.335
29,17-06-2011,0,63.97,3.873,135.0837333,9.966
24,19-03-2010,0,46.09,2.96,131.8242903,8.326
11,22-06-2012,0,83.26,3.346,225.3068615,6.664
19,11-06-2010,0,61.64,2.972,132.4357419,8.185
5,19-11-2010,0,52.52,2.771,212.445487,6.768
15,05-08-2011,0,73.63,4.02,136.0540323,7.806
45,21-10-2011,0,59.6,3.57,187.7846197,8.523
25,11-11-2011,0,44.81,3.53,210.9810201,7.082
24,27-04-2012,0,49.26,4.163,137.9781333,8.983
41,10-06-2011,0,61.1,3.735,192.8470612,6.934
4,22-07-2011,0,82.84,3.627,129.1507742,5.644
3,27-07-2012,0,84.94,3.407,225.4537579,6.334
2,27-07-2012,0,86.37,3.407,221.5785461,6.565
18,30-09-2011,0,69.01,3.684,136.4195,8.89
23,26-03-2010,0,38.59,2.831,131.863129,5.892
43,27-01-2012,0,52.1,3.29,211.5879908,9.653
17,21-01-2011,0,26.62,2.934,127.4404839,6.866
38,22-07-2011,0,91.17,3.794,129.1507742,13.503
22,13-07-2012,0,75.81,3.561,142.2548214,7.753
1,17-02-2012,0,45.32,3.51,220.4257586,7.348
10,11-03-2011,0,64.22,3.63,128.3995,8.744
23,23-12-2011,0,27.8,3.413,136.5883871,4.42
40,13-01-2012,0,25.9,3.523,136.753,4.261
11,27-05-2011,0,85.61,3.786,218.8860765,7.574
31,01-04-2011,0,56.36,3.524,214.4886908,7.931
7,25-11-2011,1,27.6,3.424,195.7704,8.513
11,11-03-2011,0,63.29,3.459,217.4653683,7.551
40,10-08-2012,0,70.09,3.772,138.1437742,4.156
17,20-08-2010,0,67.04,2.85,126.0766452,6.697
25,24-12-2010,0,22.94,3.141,204.6376731,7.484
26,15-06-2012,0,57.84,3.683,138.1295333,7.489
12,24-09-2010,0,81.77,2.939,126.1900333,14.18
41,02-03-2012,0,27.39,3.191,196.9565303,6.589
29,01-06-2012,0,70.01,3.798,138.1138065,9.14
8,16-07-2010,0,77.49,2.623,214.4640599,6.315
23,24-06-2011,0,63.8,3.851,135.2652667,4.781
22,16-12-2011,0,39.11,3.445,140.4700795,7.706
3,03-08-2012,0,86.55,3.417,225.4636332,6.334
12,12-08-2011,0,91.04,3.701,129.2015806,13.503
23,28-01-2011,0,10.91,3.243,133.1059677,5.114
33,08-07-2011,0,96.44,3.793,129.1125,8.442
4,07-09-2012,1,82.09,3.709,130.9325484,4.077
4,14-01-2011,0,31.6,2.992,127.3009355,6.51
35,17-09-2010,0,64.5,2.706,136.6338071,8.861
33,27-01-2012,0,56.33,3.675,130.3144516,7.603
9,25-03-2011,0,68.79,3.473,218.2007506,6.416
23,22-04-2011,0,39.62,3.919,134.3571,4.781
1,26-10-2012,0,69.16,3.506,223.4442513,6.573
33,18-05-2012,0,89.81,4.308,131.0983226,7.396
39,01-07-2011,0,84.93,3.524,213.9324122,8.177
19,14-01-2011,0,21.68,3.367,132.9510645,7.771
18,25-02-2011,0,26.15,3.281,133.4921429,9.131
5,24-09-2010,0,78.53,2.624,212.1519404,6.496
9,21-01-2011,0,44.72,3.016,215.3554013,6.416
10,31-08-2012,0,86.97,3.886,130.8853548,7.17
20,12-10-2012,0,47.2,4.0,216.1150568,7.293
33,11-11-2011,0,58.75,3.677,129.8167097,8.01
17,09-07-2010,0,62.41,2.802,126.1518,6.697
4,27-05-2011,0,73.65,3.771,129.0623548,5.946
11,22-10-2010,0,72.6,2.725,215.17839,7.564
34,20-04-2012,0,55.34,3.864,131.1173333,9.575
28,24-12-2010,0,52.02,3.236,126.9835806,14.313
21,04-03-2011,0,59.52,3.288,213.4775305,8.028
20,31-12-2010,1,28.85,3.179,204.6432267,7.484
6,19-03-2010,0,56.55,2.72,212.7351935,7.259
11,19-11-2010,0,58.63,2.771,215.2074519,7.564
8,23-07-2010,0,78.29,2.608,214.6029664,6.315
45,30-03-2012,0,50.04,3.953,190.6107463,8.424
10,02-04-2010,0,63.66,3.086,126.6034839,9.524
21,16-09-2011,0,80.62,3.526,215.6944378,7.852
43,19-11-2010,0,54.96,2.771,203.8191286,10.21
13,10-06-2011,0,61.39,3.732,129.0357097,7.193
22,24-06-2011,0,68.53,3.851,139.1832917,8.252
41,18-02-2011,0,39.39,3.051,191.9178331,7.241
19,27-08-2010,0,66.4,2.885,132.6932258,8.099
44,25-02-2011,0,33.17,3.12,128.13,7.224
10,21-05-2010,0,78.32,3.12,126.1843871,9.524
1,02-03-2012,0,60.96,3.63,220.8480454,7.348
10,29-04-2011,0,73.38,4.151,128.9998667,8.494
41,16-07-2010,0,69.06,2.699,189.6125456,7.335
38,28-10-2011,0,67.41,3.727,129.7936774,12.89
36,01-07-2011,0,85.33,3.502,213.9324122,8.177
16,11-05-2012,0,53.57,3.87,197.5481609,6.169
7,01-07-2011,0,58.54,3.597,193.0930552,8.622
3,21-01-2011,0,50.74,3.016,215.1268275,7.551
40,21-01-2011,0,14.64,3.232,133.0285161,5.114
24,27-01-2012,0,31.92,3.737,136.9598387,8.659
30,30-03-2012,0,67.87,3.845,220.9991248,7.057
27,17-02-2012,0,37.24,3.874,141.2140357,8.009
39,09-09-2011,1,79.15,3.546,214.6155376,8.177
17,18-03-2011,0,34.48,3.407,128.5121935,6.866
25,30-09-2011,0,60.7,3.645,209.807836,7.274
28,17-09-2010,0,82.45,3.028,126.1454667,14.18
24,08-06-2012,0,59.93,3.871,138.1174194,8.983
37,04-05-2012,0,77.17,3.749,220.3545033,6.989
6,09-04-2010,0,66.15,2.77,212.1308239,7.092
6,21-01-2011,0,46.2,3.016,213.3399647,6.858
3,05-02-2010,0,45.71,2.572,214.4248812,7.368
24,30-12-2011,1,33.45,3.566,136.6432581,8.454
31,02-12-2011,0,48.72,3.172,218.3590319,7.441
3,02-07-2010,0,82.2,2.669,214.5463222,7.346
24,01-04-2011,0,35.73,3.811,134.0682581,8.212
41,13-04-2012,0,46.84,3.901,197.780931,6.547
35,31-08-2012,0,75.0,3.867,142.4054482,8.839
22,15-07-2011,0,75.2,3.827,139.7006325,8.023
29,23-12-2011,0,39.83,3.413,136.5883871,9.357
41,13-01-2012,0,27.49,3.077,196.7330517,6.589
19,03-08-2012,0,73.41,3.819,138.1735806,8.193
14,11-02-2011,1,30.3,3.239,183.7016129,8.549
32,24-06-2011,0,65.06,3.661,192.9982655,8.595
43,01-10-2010,0,77.93,2.603,203.5934286,10.21
41,23-12-2011,0,25.59,3.173,196.1713893,6.759
1,17-06-2011,0,86.41,3.637,214.9980596,7.682
36,14-09-2012,0,78.16,3.692,221.2601207,6.623
5,05-10-2012,0,71.17,3.617,223.7744444,5.422
3,07-09-2012,1,84.99,3.73,225.9660263,6.334
8,18-06-2010,0,78.79,2.637,214.8324452,6.29
13,27-04-2012,0,64.8,3.842,131.1266667,5.965
17,23-04-2010,0,52.25,2.936,126.4713333,6.635
19,20-01-2012,0,23.44,3.705,136.8564194,7.943
6,09-07-2010,0,80.93,2.642,212.6296549,6.973
19,17-02-2012,0,30.95,3.874,137.2583103,7.943
33,13-04-2012,0,73.17,4.254,131.108,7.396
42,08-07-2011,0,88.57,3.793,129.1125,8.257
29,28-01-2011,0,20.61,3.243,133.1059677,10.256
28,04-03-2011,0,51.72,3.674,128.26475,14.021
42,03-02-2012,0,56.85,3.543,130.3496774,7.545
43,08-06-2012,0,85.73,3.452,213.1702811,9.575
27,23-03-2012,0,57.3,4.054,141.6269332,8.009
11,15-06-2012,0,84.97,3.393,225.2644795,6.664
9,13-05-2011,0,77.66,3.899,219.6041829,6.38
29,05-08-2011,0,75.33,3.903,136.0540323,9.863
8,25-11-2011,1,49.61,3.236,221.9491571,6.123
30,14-10-2011,0,69.79,3.274,217.0048261,7.441
17,27-07-2012,0,74.2,3.537,130.7195806,5.936
24,13-04-2012,0,48.65,4.187,137.868,8.983
21,06-08-2010,0,90.3,2.627,211.1608049,8.099
30,12-10-2012,0,61.53,3.601,223.0154263,6.17
7,25-05-2012,0,50.6,3.804,197.5886046,8.09
20,29-04-2011,0,62.97,3.962,208.6386,7.287
32,18-05-2012,0,57.46,3.837,197.5553137,8.09
38,03-06-2011,0,71.81,4.031,129.0490323,13.736
39,17-09-2010,0,81.83,2.582,210.2924504,8.36
44,02-04-2010,0,42.15,2.842,126.6034839,7.972
13,02-07-2010,0,78.82,2.814,126.1392,7.951
40,05-08-2011,0,68.1,3.903,136.0540323,4.584
3,18-03-2011,0,69.47,3.488,217.7235226,7.551
31,27-04-2012,0,69.21,3.814,221.255812,6.891
36,14-05-2010,0,77.53,2.805,209.118536,8.464
7,11-02-2011,1,10.24,3.037,191.8572881,8.818
8,12-11-2010,0,54.89,2.728,215.3721,6.433
1,31-12-2010,1,48.43,2.943,211.4049321,7.838
20,15-10-2010,0,59.17,2.868,205.0137637,7.484
39,20-07-2012,0,80.32,3.311,220.6148749,6.623
10,22-04-2011,0,75.93,3.917,128.9553,8.494
4,14-05-2010,0,62.35,2.845,126.2085484,7.896
26,20-07-2012,0,66.75,3.61,138.2331935,7.405
8,01-04-2011,0,49.86,3.524,218.2586281,6.297
11,02-07-2010,0,83.09,2.669,214.5463222,7.346
26,12-11-2010,0,37.51,2.961,132.9783226,8.149
38,26-08-2011,0,94.61,3.74,129.2832581,13.503
37,22-07-2011,0,83.31,3.651,214.1713416,8.177
40,30-12-2011,1,18.75,3.402,136.6432581,4.42
28,08-07-2011,0,89.9,3.705,129.1125,13.503
24,04-06-2010,0,71.99,3.006,132.3648387,8.211
12,16-09-2011,0,76.36,3.918,129.4306,13.503
19,18-02-2011,0,34.74,3.42,133.3701429,7.771
29,10-09-2010,1,68.6,2.717,132.7564516,10.409
8,18-02-2011,0,50.64,3.045,216.6310383,6.262
6,24-08-2012,0,79.03,3.62,223.7860175,5.668
23,19-08-2011,0,67.09,3.82,136.183129,4.584
27,10-08-2012,0,78.44,3.863,142.1705634,8.239
10,26-03-2010,0,60.05,2.98,126.6050645,9.765
11,17-02-2012,0,52.77,3.51,223.9170153,6.833
34,09-04-2010,0,51.26,2.773,126.6019032,9.593
36,27-04-2012,0,70.06,3.888,220.3014485,6.989
43,05-02-2010,0,47.31,2.572,203.0642742,9.521
33,16-04-2010,0,72.44,3.109,126.5621,9.849
33,19-03-2010,0,64.6,3.054,126.6066452,10.115
13,21-10-2011,0,54.66,3.579,129.7821613,6.392
8,23-03-2012,0,52.9,3.787,224.8399424,5.825
11,17-08-2012,0,87.73,3.571,225.5558664,6.334
6,08-04-2011,0,70.35,3.622,216.6244334,6.855
43,15-07-2011,0,84.67,3.575,207.1940691,10.641
2,12-11-2010,0,59.69,2.728,211.6608975,8.163
38,08-07-2011,0,89.9,3.705,129.1125,13.503
42,06-07-2012,0,86.87,3.666,130.7196333,7.17
31,08-04-2011,0,68.62,3.622,214.7252242,7.931
12,21-01-2011,0,53.53,3.223,127.4404839,14.021
11,09-09-2011,1,84.91,3.546,219.2135305,7.567
14,22-04-2011,0,53.04,3.892,185.6684673,8.521
6,18-06-2010,0,83.89,2.637,212.9813843,7.092
28,10-06-2011,0,78.72,3.981,129.0357097,13.736
20,23-12-2011,0,40.19,3.389,212.2360401,7.082
9,23-07-2010,0,84.49,2.608,214.7865779,6.442
21,13-07-2012,0,82.51,3.256,221.5616784,6.565
20,20-07-2012,0,76.04,3.567,214.7331351,7.28
25,16-07-2010,0,73.43,2.783,204.3571656,7.527
39,15-10-2010,0,69.96,2.72,210.5805944,8.476
38,05-08-2011,0,90.61,3.803,129.1846452,13.503
41,15-10-2010,0,49.91,2.762,190.8623087,7.508
23,18-05-2012,0,58.42,3.899,138.1065806,4.125
23,11-06-2010,0,58.35,2.83,132.4357419,5.435
4,04-03-2011,0,46.56,3.305,128.26475,6.51
13,16-04-2010,0,50.39,2.915,126.5621,8.107
4,16-07-2010,0,78.53,2.621,126.1498065,7.372
42,20-01-2012,0,54.51,3.66,130.2792258,7.545
14,30-03-2012,0,50.04,3.953,190.6107463,8.424
44,07-10-2011,0,60.62,3.592,129.6938,6.078
35,25-02-2011,0,33.05,3.274,137.3764439,8.549
33,22-04-2011,0,79.46,3.917,128.9553,8.687
1,03-09-2010,0,81.21,2.577,211.5312479,7.787
6,08-07-2011,0,88.36,3.48,216.8200275,6.925
31,25-05-2012,0,79.49,3.561,221.3828029,6.891
22,29-07-2011,0,75.32,3.898,139.8933099,8.023
24,23-03-2012,0,59.51,4.054,137.6552903,8.659
19,26-10-2012,0,56.49,4.071,138.7281613,7.992
16,24-12-2010,0,32.46,2.781,191.1430189,6.986
19,22-07-2011,0,79.37,3.972,135.8738387,7.806
11,09-03-2012,0,61.44,3.669,224.5620291,6.833
8,02-03-2012,0,50.95,3.63,224.3959793,5.825
1,06-01-2012,0,49.01,3.157,219.7142581,7.348
31,23-09-2011,0,75.68,3.467,216.0282356,7.852
25,09-09-2011,1,67.51,3.738,209.0225562,7.274
27,17-06-2011,0,67.03,3.989,139.0028333,7.725
11,07-05-2010,0,75.57,2.835,213.6211778,7.343
15,05-02-2010,0,19.83,2.954,131.5279032,8.35
25,06-07-2012,0,75.52,3.475,214.6873514,7.28
29,25-03-2011,0,38.77,3.624,133.9587419,10.256
40,02-07-2010,0,65.47,2.815,132.5218667,5.326
8,02-09-2011,0,84.77,3.533,219.1970226,6.425
24,29-04-2011,0,60.48,4.117,134.4357333,8.212
7,26-02-2010,0,24.91,2.586,189.6018023,9.014
43,02-04-2010,0,62.19,2.719,202.83803,9.593
7,17-12-2010,0,20.74,2.778,191.0303376,9.137
30,04-05-2012,0,77.53,3.749,221.3095166,6.891
1,09-03-2012,0,58.76,3.669,221.0591887,7.348
45,12-10-2012,0,54.47,4.0,192.3272654,8.667
17,06-07-2012,0,68.91,3.63,130.7196333,5.936
45,19-10-2012,0,56.47,3.969,192.3308542,8.667
24,22-07-2011,0,79.29,3.972,135.8738387,8.358
26,26-08-2011,0,61.1,3.796,136.2136129,7.767
17,23-07-2010,0,69.66,2.797,126.1283548,6.697
35,02-03-2012,0,40.07,3.816,141.3875357,8.744
35,08-04-2011,0,46.87,3.72,138.0638929,8.512
44,17-08-2012,0,79.4,3.545,130.7909677,5.407
7,03-06-2011,0,45.77,3.763,192.8418131,8.595
20,26-10-2012,0,60.04,3.882,216.1515902,7.293
24,17-09-2010,0,60.31,2.846,132.7670667,8.117
26,09-09-2011,1,60.98,3.809,136.2745806,7.767
28,02-07-2010,0,91.98,3.105,126.1392,14.18
12,10-12-2010,0,50.01,3.203,126.7934,14.313
17,30-12-2011,1,26.73,3.119,130.0710323,6.617
43,08-10-2010,0,72.81,2.633,203.6651786,10.21
30,29-06-2012,0,88.05,3.286,221.4813343,6.891
8,18-11-2011,0,51.72,3.308,221.6911738,6.123
8,25-05-2012,0,76.11,3.561,225.3005779,5.679
27,18-06-2010,0,70.0,2.942,136.3243393,8.058
40,19-02-2010,0,27.84,2.747,131.637,5.892
44,16-12-2011,0,27.85,3.282,129.8980645,6.078
27,21-09-2012,0,66.1,4.203,142.6798167,8.239
6,25-11-2011,1,62.78,3.236,220.0417412,6.551
13,04-11-2011,0,43.51,3.538,129.8051935,6.392
42,04-11-2011,0,68.57,3.828,129.8051935,7.874
44,24-06-2011,0,66.38,3.668,129.0663,6.906
38,18-11-2011,0,54.2,3.813,129.8268333,12.89
45,26-11-2010,1,46.15,3.039,182.7832769,8.724
32,10-06-2011,0,65.49,3.735,192.8470612,8.595
33,06-04-2012,0,70.75,4.282,131.0375484,7.396
35,04-02-2011,0,28.7,3.231,137.0542431,8.549
43,28-01-2011,0,44.98,3.01,204.1789677,10.398
27,25-02-2011,0,33.05,3.452,137.3764439,7.827
41,29-04-2011,0,39.81,3.663,192.6243322,6.934
18,12-08-2011,0,73.57,3.88,136.144129,8.89
19,01-07-2011,0,67.64,3.916,135.4468,7.806
41,22-07-2011,0,74.11,3.545,193.5120367,6.901
30,18-06-2010,0,86.18,2.637,211.1096543,8.2
15,21-10-2011,0,51.67,3.757,136.5017742,7.866
18,02-04-2010,0,45.63,2.826,131.9019677,9.269
24,16-04-2010,0,51.08,3.01,131.9809,8.211
25,29-10-2010,0,55.72,2.921,205.1118126,7.484
43,26-10-2012,0,69.17,3.506,214.7415392,8.839
38,18-06-2010,0,81.06,3.043,126.114,14.099
14,17-02-2012,0,36.85,3.695,189.8424834,8.424
40,10-06-2011,0,64.19,3.924,134.9425484,4.781
21,05-03-2010,0,48.61,2.625,211.0067542,8.324
9,01-04-2011,0,56.12,3.524,218.445164,6.38
43,30-07-2010,0,79.79,2.64,203.2961774,9.816
42,03-08-2012,0,84.76,3.595,130.737871,7.17
32,03-06-2011,0,61.25,3.763,192.8418131,8.595
40,22-07-2011,0,73.34,3.882,135.8738387,4.584
14,29-10-2010,0,61.3,2.921,182.9011166,8.724
15,02-03-2012,0,33.24,3.983,137.4238966,7.943
45,17-02-2012,0,36.85,3.695,189.8424834,8.424
4,21-10-2011,0,64.79,3.361,129.7821613,5.143
6,13-04-2012,0,71.29,3.891,223.1163529,5.964
15,09-07-2010,0,77.33,2.94,132.5461333,8.099
24,27-07-2012,0,73.62,3.82,138.2033871,8.953
4,09-04-2010,0,54.16,2.773,126.6019032,7.896
5,25-02-2011,0,63.35,3.065,214.0955503,6.634
13,20-07-2012,0,75.69,3.556,130.7012903,5.765
25,11-06-2010,0,63.68,2.809,204.6679198,7.856
7,20-05-2011,0,36.16,3.828,192.831317,8.595
37,21-01-2011,0,51.18,3.016,210.6031072,8.395
3,09-04-2010,0,68.0,2.77,213.9120595,7.343
8,28-01-2011,0,39.26,3.01,215.5528862,6.262
24,27-08-2010,0,67.0,2.885,132.6932258,8.117
23,06-01-2012,0,24.29,3.439,136.698129,4.261
9,27-08-2010,0,84.01,2.619,215.1199536,6.442
27,03-12-2010,0,41.81,3.2,136.6075714,8.021
38,14-10-2011,0,67.31,3.805,129.7706452,12.89
11,10-08-2012,0,86.21,3.494,225.4735085,6.334
24,11-03-2011,0,39.51,3.752,133.7361429,8.252
16,16-07-2010,0,67.68,2.699,189.6125456,6.868
7,30-09-2011,0,47.34,3.538,194.8779718,8.622
41,11-05-2012,0,50.22,3.87,197.5481609,6.547
31,07-05-2010,0,70.87,2.835,210.0011018,8.2
1,30-04-2010,0,67.41,2.78,210.3895456,7.808
8,27-04-2012,0,70.34,3.814,225.1734114,5.679
33,18-11-2011,0,63.35,3.669,129.8268333,8.01
21,01-06-2012,0,79.24,3.501,221.3852748,6.891
32,01-10-2010,0,66.14,2.759,190.6738241,9.137
5,10-06-2011,0,83.61,3.648,215.6064555,6.489
13,11-03-2011,0,41.28,3.346,128.3995,7.47
31,05-02-2010,0,39.05,2.572,210.7526053,8.324
45,19-02-2010,0,31.27,2.745,182.0347816,8.992
22,06-04-2012,0,46.38,3.957,141.7712396,7.671
10,17-09-2010,0,85.52,3.028,126.1454667,9.199
17,05-08-2011,0,65.71,3.595,129.1846452,6.745
40,25-02-2011,0,16.5,3.281,133.4921429,5.114
42,07-05-2010,0,71.06,3.127,126.2898,9.524
29,05-02-2010,0,24.36,2.788,131.5279032,10.064
33,10-12-2010,0,60.72,3.091,126.7934,9.265
35,23-09-2011,0,63.61,3.711,140.32725,8.684
19,10-06-2011,0,68.26,4.025,134.9425484,7.658
41,09-12-2011,0,17.05,3.331,195.8742575,6.759
28,12-08-2011,0,91.04,3.701,129.2015806,13.503
5,26-08-2011,0,89.18,3.523,216.2950176,6.529
4,05-02-2010,0,43.76,2.598,126.4420645,8.623
26,10-02-2012,1,23.89,3.655,137.1666774,7.467
33,17-06-2011,0,91.11,3.935,129.0432,8.687
40,19-10-2012,0,46.33,4.0,138.8336129,4.145
24,28-05-2010,0,69.59,3.046,132.2939355,8.211
14,03-12-2010,0,40.93,3.046,182.6676154,8.724
13,01-07-2011,0,74.29,3.613,129.0894,6.877
15,25-02-2011,0,20.87,3.452,133.4921429,7.771
43,18-03-2011,0,68.98,3.488,206.225924,10.398
6,15-06-2012,0,82.1,3.393,223.3680933,5.964
8,30-09-2011,0,72.2,3.355,220.1329176,6.425
24,18-03-2011,0,43.39,3.796,133.8492258,8.252
33,09-12-2011,0,47.7,3.644,129.8555333,8.01
42,29-07-2011,0,86.75,3.694,129.1677097,8.257
30,09-03-2012,0,57.16,3.669,220.6974332,7.057
32,14-05-2010,0,46.42,2.788,189.4904116,8.963
6,19-10-2012,0,69.68,3.594,225.0501013,5.329
18,05-02-2010,0,21.33,2.788,131.5279032,9.202
14,15-07-2011,0,78.47,3.76,186.1399808,8.625
11,11-06-2010,0,82.81,2.668,214.787913,7.343
26,24-08-2012,0,62.08,3.874,138.2814516,7.405
41,25-03-2011,0,41.11,3.414,192.1964844,7.241
27,21-05-2010,0,63.31,3.096,136.0796521,8.058
15,10-08-2012,0,73.99,3.863,138.1437742,8.193
20,30-03-2012,0,51.52,3.953,214.1647079,6.961
41,15-06-2012,0,64.92,3.723,197.692292,6.547
36,13-04-2012,0,72.54,3.919,220.1953389,6.989
5,01-06-2012,0,79.72,3.501,222.3343277,5.801
25,16-03-2012,0,50.64,3.862,214.0167132,6.961
22,01-07-2011,0,70.8,3.815,139.36375,8.023
22,06-01-2012,0,34.61,3.439,140.6461359,7.503
2,17-12-2010,0,47.55,2.869,211.0645458,8.163
3,12-02-2010,1,47.93,2.548,214.5747916,7.368
28,06-01-2012,0,50.43,3.599,130.1575161,12.187
35,16-07-2010,0,78.26,2.783,136.4179827,8.861
31,06-05-2011,0,61.87,3.906,215.4448709,7.931
2,06-08-2010,0,89.53,2.627,211.1608049,8.099
23,29-10-2010,0,48.68,2.938,132.8708387,5.287
24,07-01-2011,0,30.72,3.351,132.8823226,8.252
23,03-08-2012,0,71.51,3.698,138.1735806,4.156
12,23-03-2012,0,56.26,4.038,130.8966452,12.187
12,07-05-2010,0,70.15,3.127,126.2898,14.099
30,06-08-2010,0,90.3,2.627,211.1608049,8.099
10,28-01-2011,0,53.03,3.231,127.5800323,8.744
19,05-03-2010,0,32.92,2.919,131.735,8.35
13,28-05-2010,0,53.11,2.908,126.1602258,8.107
37,24-06-2011,0,83.95,3.594,213.8402689,8.3
41,22-06-2012,0,66.88,3.735,197.7389345,6.547
19,15-06-2012,0,68.19,3.786,138.1295333,8.15
43,02-03-2012,0,56.43,3.63,212.3180074,9.653
18,11-03-2011,0,38.4,3.6,133.7361429,9.131
37,03-06-2011,0,82.96,3.699,214.0162805,8.3
2,20-05-2011,0,67.14,3.907,215.3834778,7.931
38,11-06-2010,0,90.84,2.949,126.1119032,14.099
13,07-10-2011,0,60.62,3.592,129.6938,6.392
33,11-03-2011,0,66.51,3.63,128.3995,8.951
35,01-04-2011,0,37.27,3.638,137.9558929,8.512
35,19-11-2010,0,50.81,3.0,136.7715714,8.763
1,01-07-2011,0,85.55,3.524,215.1841368,7.962
24,04-02-2011,0,23.83,3.4,133.1834194,8.252
21,06-05-2011,0,61.87,3.906,215.4448709,7.931
28,03-12-2010,0,43.33,3.041,126.7313333,14.313
22,23-07-2010,0,76.91,2.784,136.4366924,8.433
23,30-04-2010,0,45.47,2.935,132.0644333,5.435
39,24-08-2012,0,80.49,3.62,220.8526787,6.623
22,12-11-2010,0,44.42,2.961,136.8349032,8.572
30,24-06-2011,0,85.72,3.594,214.7441108,7.931
32,11-02-2011,1,18.51,3.037,191.8572881,8.818
27,30-12-2011,1,37.85,3.566,140.5874505,7.906
42,27-07-2012,0,83.98,3.769,130.7195806,7.17
32,28-05-2010,0,64.69,2.737,189.4452425,8.963
9,07-10-2011,0,72.62,3.285,220.6643585,6.054
42,26-03-2010,0,60.05,2.98,126.6050645,9.765
14,26-08-2011,0,72.55,3.704,186.5641172,8.625
14,20-05-2011,0,62.28,4.062,185.9661154,8.521
17,05-02-2010,0,23.11,2.666,126.4420645,6.548
44,28-09-2012,0,64.8,3.821,131.043,5.407
13,19-02-2010,0,35.7,2.654,126.5262857,8.316
10,11-11-2011,0,55.28,3.677,129.8167097,7.874
42,06-04-2012,0,65.99,4.282,131.0375484,7.382
15,10-06-2011,0,69.86,4.025,134.9425484,7.658
